fonts-filesystem 2.0.5
abattis-cantarell-vf-fonts 0.301
fedora-logos 38.1.0
default-fonts-core-sans 4.0
liberation-fonts-common 2.1.5
liberation-mono-fonts 2.1.5
pcre2-syntax 10.42
libreport-filesystem 2.17.11
hyperv-daemons-license 0
hunspell-filesystem 1.7.2
liberation-sans-fonts 2.1.5
liberation-serif-fonts 2.1.5
abattis-cantarell-fonts 0.301
google-noto-color-emoji-fonts 20220916
whois-nls 5.5.18
mozilla-filesystem 1.9
mobile-broadband-provider-info 20230416
fuse-common 3.16.1
fedora-gpg-keys 39
fedora-repos 39
setup 2.14.4
filesystem 3.18
urw-base35-fonts-common 20200910
efi-filesystem 5
adobe-mappings-cmap 20230622
adobe-mappings-cmap-deprecated 20230622
basesystem 11
default-fonts-as 4.0
default-fonts-bn 4.0
default-fonts-hi 4.0
default-fonts-mai 4.0
default-fonts-mr 4.0
default-fonts-ast 4.0
default-fonts-be 4.0
default-fonts-bg 4.0
default-fonts-br 4.0
default-fonts-dz 4.0
default-fonts-el 4.0
default-fonts-eo 4.0
default-fonts-eu 4.0
default-fonts-ia 4.0
default-fonts-ku 4.0
default-fonts-nb 4.0
default-fonts-nn 4.0
default-fonts-nr 4.0
default-fonts-nso 4.0
default-fonts-ru 4.0
default-fonts-ss 4.0
default-fonts-tn 4.0
default-fonts-ts 4.0
default-fonts-uk 4.0
default-fonts-ve 4.0
default-fonts-vi 4.0
default-fonts-xh 4.0
default-fonts-zu 4.0
google-droid-sans-fonts 20200215
default-fonts-ar 4.0
default-fonts-hy 4.0
default-fonts-iu 4.0
default-fonts-chr 4.0
default-fonts-am 4.0
default-fonts-ka 4.0
default-fonts-gu 4.0
default-fonts-pa 4.0
default-fonts-he 4.0
default-fonts-kn 4.0
default-fonts-km 4.0
default-fonts-lo 4.0
default-fonts-or 4.0
default-fonts-si 4.0
default-fonts-ta 4.0
default-fonts-te 4.0
default-fonts-dv 4.0
default-fonts-th 4.0
adobe-source-code-pro-fonts 2.042.1.062.1.026
gdouros-symbola-fonts 10.24
google-carlito-fonts 1.103
google-crosextra-caladea-fonts 1.002
jomolhari-fonts 0.003
default-fonts-bo 4.0
julietaula-montserrat-fonts 7.222
fedora-logos-httpd 38.1.0
madan-fonts 2.000
default-fonts-ne 4.0
open-sans-fonts 1.10
paktype-naskh-basic-fonts 6.0
default-fonts-ur 4.0
default-fonts-ml 4.0
sil-mingzat-fonts 1.100
langpacks-fonts-en 4.0
sil-nuosu-fonts 2.200
default-fonts-yi 4.0
sil-padauk-fonts 3.003
default-fonts-my 4.0
stix-fonts 2.13b171
